index,windspeed_m/s
509,4.162590247293577
510,4.004646457694337
511,4.190982860946793
512,4.565045238149531
513,4.503704596017744
514,4.21887771745139
515,3.9397600278467784
516,4.1972257020423145
517,3.991220491003425
518,4.148360470360576
519,3.8752751349709036
520,3.563255613605538
521,4.6522314054438
522,4.662216528782853
523,4.12415154750658
524,4.184830943461833
525,4.472130416237976
526,4.294077185159028
527,4.542289731638873
528,4.92911747363052
529,4.36161844050037
530,4.799485929659032
531,4.916121892645489
532,4.711070845057508
533,4.851713858409552
534,4.597876443544497
535,4.5153077994679
536,4.7556075296114715
537,4.653652064316073
538,5.0707506886555445
539,5.162491859963812
540,4.94528330341642
541,4.862350661504144
542,4.999335259993722
543,4.512260264355965
544,4.462165561509154
545,4.28632832501698
546,4.192615412950553
547,3.8629074385465163
548,3.414686381657322
549,3.059499447719147
550,3.1917620718291735
551,3.03711913844616
552,3.3905187018958456
553,3.3689129871486982
554,2.855386816424256
555,2.769174800780517
556,2.225552382891291
557,2.5418420222087375
558,2.9656377458708687
559,3.6090309317104863
560,3.3904685482559067
561,3.6848993759685538
562,3.6765779049546072
563,3.9178150594675856
564,3.312632693470257
565,2.8108825811566613
566,1.9815399144328627
567,2.447727754078541
568,3.060018036257436
569,3.757243409968742
570,3.396829893243866
571,3.5083265687326897
572,3.5456518750073855
573,3.64213479033996
574,3.507485170453985
575,3.5733247089176032
576,3.4553708950017543
577,3.2387427786121035
578,3.372961457081633
579,3.3463994092624096
580,3.17515145172731
581,3.4455677302387815
582,3.224852174766163
583,3.7802261324514297
584,3.575786885983708
585,3.591947335404279
586,4.154971943551044
587,3.740927576949335
588,4.181417430522837
589,3.794390966757149
590,3.5471317943498697
591,3.976856863746025
592,3.941870405640787
593,3.8941421283291735
594,3.466449548067701
595,2.9943373548915555
596,3.2978860131340664
597,3.8427836956688455
598,4.170796926645392
599,4.276531482743447
600,3.830996538728774
601,3.4742715184290427
602,3.729764519652748
603,3.663109224100319
604,3.820463777345333
605,3.9407845831594717
606,4.199761237697086
607,4.105527813337418
608,3.7842519410076796
609,3.9085470069790804
610,3.472069445579924
611,3.936722853249224
612,3.8059127470832093
613,3.792922667075075
614,3.73342182707868
615,3.184776898739609
616,3.6306092412987994
617,3.357836315831007
618,3.6524861485424833
619,3.7394089188252955
620,3.512384577756824
621,3.178559377124316
622,2.8568510623388312
623,2.776281212600648
624,3.159146157408921
625,3.6660289278231093
626,4.030334946871895
627,4.772914871276124
628,4.650755940624759
629,3.946213204599837
630,4.4103116364683705
631,4.970049290551912
632,4.695064380213182
633,4.75210908491842
634,5.271938474796374
635,5.151436604818699
636,4.8077877701895115
637,5.440590175551593
638,4.971585586838823
639,4.768389233752524
640,4.082601370896026
641,5.139997246475996
642,4.868500033504202
643,3.8927246626933947
644,4.334627240527077
645,4.14244618055675
646,4.755561388757407
647,5.019590819747522
648,5.445013001578121
649,5.811031302475108
650,4.913101024223795
651,4.324984128656141
652,4.479997745586892
653,4.236813205499919
654,4.165096230013393
655,4.15089549892178
656,4.418800986017651
657,4.279822133676664
658,4.0586852602377155
659,3.7121140471341056
660,3.7708951828848813
661,3.6709215767120824
662,3.4798610368407745
663,3.212410633862694
664,2.852576196234056
665,2.801798819802435
666,2.6793271375998495
667,2.662018915189412
668,2.5647578514226916
669,2.878549428704093
670,0.9436804666112776
671,1.2310480377244284
672,1.4105539363539712
673,1.8160246667001243
